"country","deaths.Cardiovascular_diseases","pct_of_total_deaths.Cardiovascular_diseases","deaths_per_100K.Cardiovascular_diseases","deaths.Neglected_tropical_diseases_and_malaria","pct_of_total_deaths.Neglected_tropical_diseases_and_malaria","deaths_per_100K.Neglected_tropical_diseases_and_malaria","deaths.Neoplasms","pct_of_total_deaths.Neoplasms","deaths_per_100K.Neoplasms","deaths.Other_non-communicable_diseases","pct_of_total_deaths.Other_non-communicable_diseases","deaths_per_100K.Other_non-communicable_diseases","deaths.Skin_and_subcutaneous_diseases","pct_of_total_deaths.Skin_and_subcutaneous_diseases","deaths_per_100K.Skin_and_subcutaneous_diseases","deaths.Chronic_respiratory_diseases","pct_of_total_deaths.Chronic_respiratory_diseases","deaths_per_100K.Chronic_respiratory_diseases","deaths.Transport_injuries","pct_of_total_deaths.Transport_injuries","deaths_per_100K.Transport_injuries","deaths.Mental_disorders","pct_of_total_deaths.Mental_disorders","deaths_per_100K.Mental_disorders","deaths.Unintentional_injuries","pct_of_total_deaths.Unintentional_injuries","deaths_per_100K.Unintentional_injuries","deaths.Musculoskeletal_disorders","pct_of_total_deaths.Musculoskeletal_disorders","deaths_per_100K.Musculoskeletal_disorders","deaths.Substance_use_disorders","pct_of_total_deaths.Substance_use_disorders","deaths_per_100K.Substance_use_disorders","deaths.Diabetes_and_kidney_diseases","pct_of_total_deaths.Diabetes_and_kidney_diseases","deaths_per_100K.Diabetes_and_kidney_diseases","deaths.Self-harm_and_interpersonal_violence","pct_of_total_deaths.Self-harm_and_interpersonal_violence","deaths_per_100K.Self-harm_and_interpersonal_violence","deaths.HIV/AIDS_and_sexually_transmitted_infections","pct_of_total_deaths.HIV/AIDS_and_sexually_transmitted_infections","deaths_per_100K.HIV/AIDS_and_sexually_transmitted_infections","deaths.Respiratory_infections_and_tuberculosis","pct_of_total_deaths.Respiratory_infections_and_tuberculosis","deaths_per_100K.Respiratory_infections_and_tuberculosis","deaths.Enteric_infections","pct_of_total_deaths.Enteric_infections","deaths_per_100K.Enteric_infections","deaths.Other_infectious_diseases","pct_of_total_deaths.Other_infectious_diseases","deaths_per_100K.Other_infectious_diseases","deaths.Maternal_and_neonatal_disorders","pct_of_total_deaths.Maternal_and_neonatal_disorders","deaths_per_100K.Maternal_and_neonatal_disorders","deaths.Neurological_disorders","pct_of_total_deaths.Neurological_disorders","deaths_per_100K.Neurological_disorders","deaths.Digestive_diseases","pct_of_total_deaths.Digestive_diseases","deaths_per_100K.Digestive_diseases","deaths.Nutritional_deficiencies","pct_of_total_deaths.Nutritional_deficiencies","deaths_per_100K.Nutritional_deficiencies"
"Mongolia",7769.97772851366,0.366345650001969,238.971418820872,0.733327526024265,3.45564565008108e-05,0.0225540311024729,4810.93660527491,0.226819990194816,147.963917863088,412.700825306449,0.0194627734518074,12.692919493206,14.7279538301558,0.000694395329893434,0.452969126308409,345.971228153271,0.016313506963391,10.640601318532,572.921174980265,0.02700243236713,17.6206149929011,0.135394719648808,6.3859772114086e-06,0.00416416486453935,1026.6454176151,0.048395227437389,31.575240064473,16.8717247368314,0.00079558669237782,0.518902388036455,526.912949329046,0.0248380796446915,16.205597943244,427.389145417192,0.0201492583185635,13.1446696551245,797.616950199427,0.0375891820042877,24.5312999502247,46.3502217776639,0.00218678984706938,1.42553539377896,1030.58487878153,0.0485911169855567,31.6964011098742,35.2611268772565,0.00166319018564049,1.08448206848242,122.903804919389,0.00579415746885471,3.77999753233378,973.370680765989,0.0459212561823308,29.9367360819686,431.272001744515,0.020339576555838,13.2640897767823,1835.24981930276,0.0865156163210844,56.4444672215844,11.4815907759384,0.000541271613597151,0.353124826597347
"Ukraine",427320.609523645,0.61941936439153,956.208033460222,27.6496171867121,4.00832198825004e-05,0.06187107639275,96033.7947509818,0.139198309257386,214.893183193117,4094.86952829897,0.00593523413252219,9.1630196430165,293.533423127958,0.000425805023766731,0.656834730243688,11366.1694336343,0.0164757937896445,25.4338833182577,7426.32395421962,0.0107639061313783,16.6177583431298,1.17496244471045,1.7028808809569e-06,0.00262919340562259,16148.761219734,0.0234068795966241,36.135807317962,406.834055321282,0.000589702396667692,0.910365620832252,10026.1471980247,0.0145293292307516,22.4353384361525,5563.31941055344,0.00806398179576684,12.4489448777266,18693.4567863118,0.0270960086147735,41.8300291486965,5099.76186533762,0.00739522443988175,11.4116500718417,13016.8297308735,0.0188687286623918,29.1275376882013,193.270026047142,0.000280153262804653,0.432477038117483,1527.65592523921,0.00221436656245805,3.41840958643492,1599.39354244229,0.00231939143976057,3.578935627871,40330.7394388921,0.0584638653904276,90.2474071864904,30536.7906812357,0.0442632565467123,68.3316552366641,171.722567690204,0.000248913233989168,0.384260658372726
"Grenada",410.64499370288,0.359779684586383,370.355412153548,0.52748977844693,0.000462029562475886,0.47573621327245,228.055842512763,0.199830048759566,205.68061669577,28.0686405207393,0.0245878108687623,25.3147440929712,11.9374614882309,0.0104618908127298,10.7662422222046,30.3438515848876,0.0265871725901991,27.3667275441773,13.1944380085504,0.0115616752006058,11.8998930992126,0.000715957102219927,6.27301314279074e-07,0.000645712456606194,33.4472322175656,0.0293054936332048,30.1656264249864,3.91785485534471,0.00343238983491602,3.53346265499303,5.61954820991879,0.00492414189200142,5.06819789676305,145.954214876805,0.12787767408239,131.634219910539,12.0000383362635,0.010515671292974,10.8226794726271,6.53451203739889,0.00572808830942871,5.89339194668044,84.0420058029625,0.0736250335655609,75.7963987742848,1.85397982328692,0.00162400460488815,1.67208043956965,4.32300516020719,0.0037875342682439,3.89886247830135,11.2988881305076,0.00988744903584494,10.1903211645598,64.0583138609005,0.056119339976639,57.7733653048765,41.3647039953263,0.0362445772645207,37.3062918864733,4.17537072709697,0.0036576625573515,3.76571289128324
"Paraguay",9835.08236781594,0.300794500071797,141.896323111997,79.7854736773019,0.0024392994563629,1.15111037499855,5649.39926314798,0.172711948863777,81.5070940184041,820.387419090733,0.0251261314762717,11.8361955642845,63.6349397581153,0.00194536737522486,0.918097442953616,1075.15357784682,0.032878543099095,15.5118517335866,1527.16096719941,0.0466486018547383,22.033219239208,0.876742536699014,2.67802050605829e-05,0.0126492628755789,988.671763465752,0.0302242647184168,14.2641294453743,119.694913333406,0.00365905443947385,1.72690654353829,262.738751660254,0.00802733191937334,3.79068129837182,3789.68160273387,0.115883565842122,54.6758903568321,1240.66705725641,0.0379002526491711,17.8998087709926,1047.30669824458,0.0321633513492543,15.1100889747274,1591.34958939179,0.0486838024691767,22.9593049733274,182.848223788549,0.00559872762592155,2.63805524680281,171.141429129807,0.00523736872856718,2.46915466667768,591.06257344461,0.0181206907329166,8.52759567884838,1900.55029094778,0.0581664541195273,27.4203192296003,1516.42428982191,0.0463524350473741,21.8783150924678,242.127232982835,0.00741152795637701,3.49330720380898
"Afghanistan",56118.581876464,0.247805765024537,170.808037042193,1336.17177426401,0.00588999406225779,4.06690387179827,16670.4579099722,0.0735960010590414,50.7398458226379,16359.2684717718,0.0721044220809162,49.7926790320677,42.9243459517369,0.000189356308723393,0.130648762462958,6917.3734525417,0.0305455849547159,21.0543984079534,8910.8342683602,0.0393047167300448,27.1218918742004,0.033013544122154,1.45681061532053e-07,0.000100483270937321,10562.7266496026,0.0465798547689359,32.1497540476618,173.885435253908,0.000767923772130844,0.529254818507878,471.813877419153,0.00208209025099112,1.43605913685839,9975.75952957179,0.0440349014872507,30.3632031722053,6906.88415355731,0.0304923570046318,21.0224721455718,925.022793589301,0.0040833592076676,2.81549038320478,25080.0367251365,0.110591168387737,76.3360672833277,7411.56981506965,0.0326765029263168,22.5585830785963,16166.0194427639,0.0713276895576301,49.2044872745174,31617.232562176,0.139345912197822,96.2333196968533,4393.8279815753,0.0194139317429096,13.3734871327655,5168.96912779215,0.0228156592608098,15.7327829878781,1440.66227413612,0.0063526635338679,4.38494143753724
"Bangladesh",320562.582289193,0.361295007939021,204.204698669181,5727.71795796043,0.006452361619212,3.64866950882058,99301.6598860653,0.111905414085214,63.2571193729964,18908.3026801526,0.0213164317490982,12.0449624019528,2575.22419600819,0.00290267991012586,1.64046869474312,82276.0737842777,0.0927327356963492,52.4114846306194,16874.3725957717,0.0190159178240601,10.7493087513327,0.894729784914553,1.0089021069109e-06,0.000569960551272291,28956.7775367992,0.032646854487911,18.4460394257684,2126.98484333495,0.00239758711579232,1.35493137067162,3473.32722096379,0.0039138603008004,2.21257806657083,51413.0783786556,0.0579465917558272,32.7511467589095,11981.8238721293,0.0134991202386431,7.63265854624308,3858.00463557276,0.00435279416840293,2.45762518022365,51809.8979940808,0.0584002374136738,33.0039286943907,43741.5638409113,0.0492863082803723,27.8642404227761,11716.5911526196,0.0132087474084848,7.46370006338491,58158.6073071955,0.0655888940299057,37.0481819661379,23800.9580261353,0.0268321713097589,15.1616805275799,44992.496714242,0.0507102142751663,28.661109379314,4961.69180521457,0.00559506149007344,3.16069571419641
"Rwanda",8125.47585316172,0.119176580855015,64.7233092610415,3166.51771996561,0.0463799666884892,25.2228311761156,6307.89658303517,0.0924810754196411,50.2454193093923,3477.98039609003,0.0509146650495238,27.7037806582593,162.773626830615,0.00238490088142985,1.2965699460912,2106.39853153206,0.0308946745899497,16.7784737838221,2858.35511892178,0.0418706208478782,22.7681683735321,0.0528414163600782,7.74121305954884e-07,0.000420907205272661,2118.46646789019,0.0310463148153073,16.8746006804082,114.268548326771,0.00167539077759273,0.910203750010047,201.112688794124,0.00294813917506758,1.60195894841983,2769.05255608441,0.0406105969005392,22.0568306627594,1152.05004428821,0.0168871243311284,9.17663071654421,3176.84461336996,0.0466458214353166,25.3050898311894,11077.8285146879,0.162309426813017,88.2402131092347,4250.27039509225,0.0622338399823392,33.8554406161411,2409.28700716762,0.0352759872872806,19.1911256499325,6654.21752489275,0.0975467426587231,53.004031583737,1709.12323235414,0.0250726201276238,13.6139856338192,4855.54591689428,0.0711633016383075,38.6767502223332,1536.18628042193,0.0224814356045247,12.2364599325748
"Luxembourg",1397.00357384171,0.316289289678137,236.561101242878,0.47789187866737,0.000108205235544793,0.0809236505971816,1306.01765263818,0.295649370771213,221.154032771094,56.6774891017565,0.0128333619281838,9.59746237493296,7.75176040291738,0.00175457685693917,1.31264157932129,236.725028442604,0.0536014610159713,40.0857481460381,40.2915357853593,0.00912019977183414,6.82275282227114,0.374109348885422,8.46741493886244e-05,0.0633496729820241,130.884283108787,0.0296313182220951,22.1632433354874,9.76669289598465,0.00221157311354572,1.65383945341066,45.9016641862602,0.0103889202814971,7.7727419114053,148.144281716534,0.0335411995905115,25.0859590353985,75.2328605815347,0.0170270428013579,12.7395295774929,2.73231390369424,0.000619278135157714,0.462675399048315,148.313774681021,0.0335831501075005,25.1146600660062,15.9370052397451,0.00360851229568748,2.69868709044175,15.6022387384388,0.00353269157124137,2.64199952450342,5.99207015462469,0.0013586815836574,1.01466505959218,540.689229714207,0.122429979392894,91.5574176089034,227.12980251647,0.0514215140102769,38.4609439907284,5.32183190051467,0.00120499948736594,0.901170504205076
"Malaysia",57288.4304874552,0.346917318674503,186.97373545631,436.170191544118,0.00264291678086713,1.4235399593563,27056.5570113345,0.163841222563751,88.3051864041486,4899.87426366369,0.0296820113650031,15.9918466354922,1641.98503383827,0.00994307246997089,5.35898911399441,5769.77872640825,0.0349438024379849,18.8309763778418,7788.98044212808,0.0471619014187458,25.4210973536748,0.132461500256117,8.02034709873771e-07,0.000432318031691521,4037.05600987532,0.0244458685258882,13.1758443369822,328.218912425622,0.00198795499294169,1.07121657167871,855.574761079114,0.00518063359211174,2.7923615236087,6576.50879220155,0.0398253865364076,21.4639222034273,2891.54660321621,0.0175087877264316,9.43721559569919,1603.62377360734,0.00971847429587681,5.23378847468278,24980.6741297474,0.151257448275235,81.5300736381399,931.138643834159,0.00564209690893039,3.03898132631717,2093.23275282127,0.0126750646410763,6.83173799045153,1594.13501449995,0.00966209683345682,5.20281976564226,7232.61731349729,0.0438107607417894,23.6052805902353,7061.2739511836,0.0427544873987839,23.0460628175569,65.695080137629,0.000397891785534852,0.21441073581382
"Maldives",422.012629318795,0.367165111283737,92.0217671420503,6.65465147555869,0.00578842597137871,1.45107692507649,162.629555339615,0.141486982610492,35.4621118709982,36.7760369965236,0.0319965812810175,8.01918160213412,7.30353098223979,0.00635382723130622,1.59256804339549,102.18578916946,0.0889110205195405,22.2820746179027,36.7953814631087,0.0320033387428114,8.02339975077684,0.000687363476924611,5.97998609914865e-07,0.000149882722509057,43.4667003662664,0.0378188828950534,9.478111084008,1.55376877852158,0.0013517512254613,0.338806326626994,3.74117389548602,0.00325486343142565,0.815779929629226,104.151646833953,0.0906152936362221,22.7107387944426,19.1845367077843,0.0166887502674528,4.18327520790436,1.49365861065816,0.00130018140630335,0.325699031997149,35.8083787699712,0.0311573154542599,7.80817933866953,6.16021147792611,0.00535924554819161,1.34326204190272,7.09690928078724,0.00617429823666343,1.54751324461316,33.4270004848793,0.0290827849936596,7.28890900692239,83.3553616855947,0.0725251837231678,18.1760145317328,30.8709662080109,0.026858608436959,6.73155414431375,4.72035858129965,0.00410695510628672,1.02929558979431
