country,cause,deaths,pct_of_total_deaths,deaths_per_100K
Bangladesh,Skin and subcutaneous diseases,2575.224196,0.00290268,1.640468695
Mongolia,Transport injuries,572.921175,0.027002432,17.62061499
Mongolia,Unintentional injuries,1026.645418,0.048395227,31.57524006
Grenada,Transport injuries,13.19443801,0.011561675,11.8998931
Bangladesh,Digestive diseases,44992.49671,0.050710214,28.66110938
Liberia,Other non-communicable diseases,1341.314874,0.04297906,28.40181298
Grenada,Cardiovascular diseases,410.6449937,0.359779685,370.3554122
Grenada,Chronic respiratory diseases,30.34385158,0.026587173,27.36672754
Tajikistan,Transport injuries,719.5035796,0.014994314,7.783703967
Tajikistan,Unintentional injuries,1699.616416,0.03540902,18.38672025
Mali,Cardiovascular diseases,18035.36294,0.09709671,89.04713167
Mali,Unintentional injuries,6519.422873,0.035015102,32.18875656
Rwanda,Transport injuries,2858.355119,0.041870621,22.76816837
Seychelles,Neglected tropical diseases and malaria,0.870224934,0.001141067,0.862401689
Ukraine,Cardiovascular diseases,427320.6095,0.619419364,956.2080335
Luxembourg,Unintentional injuries,130.8842831,0.029631318,22.16324334
Luxembourg,Self-harm and interpersonal violence,75.23286058,0.017027043,12.73952958
Grenada,Digestive diseases,41.364704,0.036244577,37.30629189
Tajikistan,Nutritional deficiencies,43.3260522,0.00090189,0.468708112
Mali,Neoplasms,10409.65056,0.056013146,51.39622238
Bangladesh,Neurological disorders,23800.95803,0.026832171,15.16168053
Bangladesh,Mental disorders,0.894729785,1.01E-06,0.000569961
Bangladesh,HIV/AIDS and sexually transmitted infections,3858.004636,0.004352794,2.45762518
Mali,Neglected tropical diseases and malaria,26008.54659,0.139442579,128.4136328
Mali,Neurological disorders,2773.747048,0.014925991,13.69499574
Mali,Mental disorders,0.037480691,2.00E-07,0.000185056
Seychelles,Digestive diseases,48.00843307,0.06295529,47.57684154
S. Sudan,Digestive diseases,2595.558364,0.026649064,26.10960536
Tajikistan,Neurological disorders,1983.350648,0.041353304,21.45620222
Tajikistan,Mental disorders,0.258615475,5.39E-06,0.002797743
Tajikistan,HIV/AIDS and sexually transmitted infections,73.54007174,0.001533279,0.795568173
Turkmenistan,Nutritional deficiencies,9.492915743,0.000287671,0.190740177
Seychelles,Skin and subcutaneous diseases,1.036754366,0.001359831,1.027434037
Seychelles,Transport injuries,16.85458587,0.022101201,16.70306464
Grenada,Mental disorders,0.000715957,6.27E-07,0.000645712
Grenada,Other infectious diseases,4.32300516,0.003787534,3.898862478
Grenada,Maternal and neonatal disorders,11.29888813,0.009887449,10.19032116
Ukraine,Neurological disorders,40330.73944,0.058463865,90.24740719
Maldives,Musculoskeletal disorders,1.553768779,0.001351751,0.338806327
Russia,Self-harm and interpersonal violence,65743.77687,0.035833126,44.97150044
Ukraine,Nutritional deficiencies,171.7225677,0.000248913,0.384260658
Ukraine,Neoplasms,96033.79475,0.139198309,214.8931832
Luxembourg,Other infectious diseases,15.60223874,0.003532692,2.641999525
Luxembourg,Maternal and neonatal disorders,5.992070155,0.001358682,1.01466506
Luxembourg,Substance use disorders,45.90166419,0.01038892,7.772741911
Luxembourg,Diabetes and kidney diseases,148.1442817,0.0335412,25.08595904
Bangladesh,Musculoskeletal disorders,2126.984843,0.002397587,1.354931371
Bangladesh,Other non-communicable diseases,18908.30268,0.021316432,12.0449624
Maldives,HIV/AIDS and sexually transmitted infections,1.493658611,0.001300181,0.325699032
Maldives,Respiratory infections and tuberculosis,35.80837877,0.031157315,7.808179339
Maldives,Enteric infections,6.160211478,0.005359246,1.343262042
Maldives,Other infectious diseases,7.096909281,0.006174298,1.547513245
Maldives,Maternal and neonatal disorders,33.42700048,0.029082785,7.288909007
Maldives,Substance use disorders,3.741173895,0.003254863,0.81577993
Maldives,Diabetes and kidney diseases,104.1516468,0.090615294,22.71073879
Liberia,Maternal and neonatal disorders,3146.934812,0.100817636,66.63510241
Liberia,Substance use disorders,91.52771146,0.002934978,1.938063161
Liberia,Diabetes and kidney diseases,1047.503071,0.033613593,22.18046403
Grenada,Other non-communicable diseases,28.06864052,0.024587811,25.31474409
Grenada,Skin and subcutaneous diseases,11.93746149,0.010461891,10.76624222
Maldives,Transport injuries,36.79538146,0.032003339,8.023399751
Maldives,Unintentional injuries,43.46670037,0.037818883,9.478111084
Guyana,Neoplasms,621.2701162,0.111755,83.69502462
Bangladesh,Transport injuries,16874.3726,0.019015918,10.74930875
Bangladesh,Unintentional injuries,28956.77754,0.032646854,18.44603943
Seychelles,Nutritional deficiencies,1.462393721,0.001917815,1.449246932
Malta,Nutritional deficiencies,1.126851647,0.00028233,0.259360963
Malta,Neoplasms,1041.51193,0.260947143,239.7188107
S. Sudan,HIV/AIDS and sexually transmitted infections,5488.963469,0.055994852,55.21535251
S. Sudan,Respiratory infections and tuberculosis,17652.88386,0.181507584,177.5763695
S. Sudan,Enteric infections,11795.04802,0.121346074,118.6504042
S. Sudan,Other infectious diseases,6518.180325,0.067053453,65.56859531
S. Sudan,Maternal and neonatal disorders,11981.81793,0.123152908,120.5291863
Mali,Self-harm and interpersonal violence,2728.973476,0.014689058,13.47393237
Grenada,HIV/AIDS and sexually transmitted infections,6.534512037,0.005728088,5.893391947
Grenada,Respiratory infections and tuberculosis,84.0420058,0.073625034,75.79639877
Grenada,Enteric infections,1.853979823,0.001624005,1.67208044
Ukraine,Self-harm and interpersonal violence,18693.45679,0.027096009,41.83002915
Maldives,Other non-communicable diseases,36.776037,0.031996581,8.019181602
Maldives,Skin and subcutaneous diseases,7.303530982,0.006353827,1.592568043
Malta,Musculoskeletal disorders,9.080571455,0.002275017,2.090022905
Tajikistan,Respiratory infections and tuberculosis,5724.231373,0.11917983,61.92564389
Tajikistan,Enteric infections,1800.969322,0.037478109,19.48317209
Tajikistan,Other infectious diseases,614.88693,0.012807242,6.651944441
Tajikistan,Maternal and neonatal disorders,3743.989752,0.077905964,40.50307561
Tajikistan,Substance use disorders,217.4628497,0.004531615,2.352547637
Tajikistan,Diabetes and kidney diseases,1972.609063,0.041114925,21.33999805
Seychelles,Unintentional injuries,27.12433971,0.035569949,26.88049432
Ukraine,Other non-communicable diseases,4094.869528,0.005935234,9.163019643
Ukraine,Skin and subcutaneous diseases,293.5334231,0.000425805,0.65683473
Turkmenistan,Neoplasms,3524.534595,0.106833636,70.81811021
Turkmenistan,Musculoskeletal disorders,11.24442963,0.00034086,0.225933165
Turkmenistan,Other non-communicable diseases,821.3189066,0.0248828,16.50267611
Turkmenistan,Skin and subcutaneous diseases,6.789320212,0.000205807,0.136417111
Myanmar,Chronic respiratory diseases,55534.59434,0.135501776,105.1891101
Seychelles,Neurological disorders,40.62092597,0.053271589,40.25574748
Seychelles,Mental disorders,0.000484678,6.35E-07,0.000480321
Seychelles,HIV/AIDS and sexually transmitted infections,6.09677421,0.007998413,6.041964755
Seychelles,Respiratory infections and tuberculosis,74.62962301,0.097866849,73.95870937
Seychelles,Enteric infections,2.592394837,0.003399166,2.569089439
Mali,Substance use disorders,200.5682475,0.001079085,0.990278222
Mali,Diabetes and kidney diseases,4206.266209,0.02263721,20.76786268
Ukraine,HIV/AIDS and sexually transmitted infections,5099.761865,0.007395224,11.41165007
Ukraine,Respiratory infections and tuberculosis,13016.82973,0.018868729,29.12753769
Ukraine,Enteric infections,193.270026,0.000280153,0.432477038
Ukraine,Other infectious diseases,1527.655925,0.002214367,3.418409586
Ukraine,Maternal and neonatal disorders,1599.393542,0.002319391,3.578935628
Ukraine,Substance use disorders,10026.1472,0.014529329,22.43533844
Ukraine,Diabetes and kidney diseases,5563.319411,0.008063982,12.44894488
Guyana,Neglected tropical diseases and malaria,17.28945352,0.003109243,2.32916601
Guyana,Mental disorders,0.006093685,1.10E-06,0.000820917
