"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Guatemala",0.0367,0.0361,0.0377,0.0412,0.0479,0.0553,0.0638,0.0619,0.0634,0.0636,0.0636,0.0735,0.072
"Guinea",0.0554,0.0561,0.0556,0.0564,0.0562,0.0565,0.0588,0.0604,0.0549,0.0532,0.0499,0.053,0.0538
"Guinea-Bissau",0.0643,0.0695,0.0672,0.0706,0.0575,0.0618,0.0587,0.0695,0.0575,0.0555,0.0561,0.0572,0.0567
"Guyana",0.0486,0.0469,0.0497,0.0502,0.0451,0.0558,0.0564,0.0575,0.0556,0.0759,0.0921,0.0599,0.0528
"Haiti",0.0661,0.0645,0.062,0.0599,0.0565,0.0606,0.0563,0.0525,0.047,0.0463,0.0441,0.057,0.0556
"Honduras",0.0534,0.0496,0.0488,0.0563,0.057,0.0538,0.0545,0.0607,0.064,0.0647,0.0583,0.0572,0.0591
"Hungary",0.0733,0.0708,0.0683,0.0718,0.0732,0.0718,0.0724,0.0759,0.0836,0.0806,0.0831,0.0813,0.0756
"Iceland",0.0843,0.0831,0.0964,0.0913,0.102,0.0973,0.0955,0.104,0.106,0.1,0.096,0.0928,0.0931
"India",0.0411,0.04,0.0435,0.0441,0.0417,0.0441,0.0464,0.0454,0.0442,0.0415,0.0415,0.0405,0.0396
"Indonesia",0.0195,0.02,0.0193,0.0208,0.0228,0.0196,0.0223,0.0224,0.0253,0.0237,0.024,0.025,0.0272
"Iran",0.0383,0.037,0.0408,0.0451,0.0459,0.0459,0.0509,0.051,0.0486,0.0493,0.0567,0.0552,0.0549
"Ireland",0.0657,0.0644,0.0626,0.0609,0.0601,0.0609,0.0669,0.0702,0.073,0.075,0.0756,0.0748,0.0764
"Israel",0.0739,0.0748,0.0772,0.0759,0.0732,0.0735,0.0787,0.0778,0.0771,0.0759,0.0767,0.0744,0.0743
"Italy",0.0722,0.0734,0.0761,0.0768,0.0774,0.0802,0.0817,0.0829,0.083,0.0862,0.089,0.0897,0.0864
"Jamaica",0.0409,0.0468,0.0597,0.0507,0.0469,0.0547,0.051,0.0488,0.0457,0.0482,0.041,0.042,0.0485
"Japan",0.069,0.0705,0.0699,0.0728,0.0755,0.0771,0.0793,0.0798,0.0813,0.0808,0.0822,0.0819,0.0819
"Kazakhstan",0.0463,0.0435,0.0468,0.0484,0.0439,0.0417,0.0348,0.0362,0.037,0.0396,0.0407,0.0394,0.0342
"Kenya",0.0426,0.0415,0.0412,0.0449,0.042,0.0468,0.0462,0.0454,0.0445,0.0429,0.0436,0.0451,0.0443
