"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006"
"Pakistan",87.5,74.8,57.6,53.3,65,57.2,85.1,71.8,82,81.6,80.9,77.6
"Panama",27.3,17.5,18.2,36.6,32.4,35.1,30.9,71.9,144,161,114,50.6
"Papua New Guinea",2100,1470,767,409,354,1510,29800,28100,28500,31500,29500,27000
"Paraguay",18.7,13,11.3,40.8,190,128,49.6,49.9,24.5,12,6.37,13.7
"Peru",807,859,747,989,658,272,306,326,298,347,NA,NA
"Philippines",82.9,57.9,58.7,69.4,49.7,48,44.7,46.5,59.7,61.4,55,40.7
"Russia",0.285,0.41,0.559,0.729,0.535,0.539,0.612,0.439,NA,NA,NA,NA
"Rwanda",24700,19500,20900,18200,11800,NA,11700,12200,13500,14200,17700,15000
"Sao Tome and Principe",40600,36100,36000,34000,26900,31000,30900,35100,32400,35900,14700,4700
"Saudi Arabia",103,112,108,207,65,31.8,14.4,11.9,7.67,5.35,4.49,5.29
"Senegal",6950,NA,9020,9680,11400,10800,8780,8820,12700,10400,11400,12900
"Sierra Leone",NA,172,4960,5830,9350,NA,9520,10300,10200,6600,4190,2800
"Solomon Islands",32800,22800,17800,18500,15600,16300,17900,17100,20200,19600,16200,15600
"Somalia",NA,NA,NA,NA,132,147,143,1290,302,462,348,583
"South Africa",21.1,63.8,53.5,60.1,115,142,57.6,33.6,28.6,28.2,16.2,25.1
"South Korea",0.238,0.872,3.77,8.65,7.79,8.85,5.43,3.81,2.47,1.81,2.86,4.27
"Sri Lanka",787,1010,1190,1140,NA,1120,354,219,55.4,19.5,8.58,3.08
"Sudan",21500,15200,13100,15900,12900,13000,12400,10100,10500,7190,7730,5930
"Suriname",1590,3970,2670,2900,3220,3010,3880,2950,3280,1820,1930,798
"Syria",4.29,2.3,0.847,0.382,0.267,0.254,0.466,0.155,0.134,0.0707,0.148,0.175
"Tajikistan",106,283,502,322,221,309,182,97.5,84.9,27.9,21.3,11.7
"Tanzania",8150,16200,3590,94600,1280,NA,935,1040,31100,31700,29700,26800
"Thailand",144,151,166,220,209,135,104,72.2,60.1,42.7,47.3,47.8
"Togo",NA,7540,7570,7320,7900,7370,8950,10200,8300,8520,7020,8840
"Turkey",131,95.4,54.6,55.8,31.2,16.8,15.6,14.6,13,7.34,2.81,1.04
"Turkmenistan",0.238,0.328,0.323,3.12,1.1,0.533,0.11,0.173,0.149,0.063,0.0207,0
"Uganda",6740,NA,10300,12200,12800,NA,35300,37300,40500,42800,55300,42800
"Uzbekistan",0.118,0.219,0.22,0.308,0.349,0.51,0.307,0.291,0.286,0.252,0.384,0.282
"Vanuatu",4830,3210,3400,3390,2770,3570,9750,17200,21000,18900,15000,9600
"Venezuela",74.2,83.7,97.3,93.1,79.7,122,119,116,123,178,169,136
"Vietnam",137,114,87,93.8,96.3,94,234,227,199,153,117,106
"Yemen",3220,2590,8380,NA,15800,7670,575,970,878,774,951,931
"Zambia",29600,33900,NA,34000,33100,34500,36000,34600,39300,36200,35900,40500
"Zimbabwe",6460,14100,15200,13900,14400,12100,5330,10500,14100,13900,11400,11600
